iter	Passed	Remaining
0	116	116179
1	165	82336
2	212	70538
3	258	64335
4	304	60666
5	351	58178
6	397	56322
7	449	55741
8	500	55064
9	546	54077
10	593	53329
11	638	52581
12	685	52022
13	733	51680
14	781	51293
15	826	50857
16	874	50541
17	920	50206
18	966	49918
19	1014	49701
20	1063	49565
21	1110	49385
22	1157	49154
23	1204	48998
24	1251	48822
25	1298	48643
26	1344	48449
27	1391	48299
28	1437	48145
29	1484	48004
30	1530	47825
31	1576	47687
32	1625	47631
33	1673	47546
34	1719	47396
35	1765	47285
36	1814	47216
37	1859	47063
38	1907	47000
39	1953	46894
40	2000	46799
41	2048	46734
42	2095	46637
43	2141	46523
44	2189	46464
45	2236	46372
46	2283	46304
47	2330	46223
48	2377	46135
49	2422	46032
50	2469	45957
51	2516	45875
52	2557	45701
53	2599	45538
54	2646	45471
55	2689	45343
56	2737	45284
57	2782	45185
58	2823	45037
59	2863	44861
60	2911	44822
61	2954	44701
62	2998	44599
63	3044	44525
64	3083	44360
65	3126	44244
66	3166	44091
67	3208	43977
68	3249	43847
69	3290	43717
70	3331	43588
71	3372	43470
72	3414	43358
73	3455	43242
74	3497	43141
75	3544	43091
76	3585	42975
77	3631	42930
78	3673	42828
79	3714	42720
80	3759	42659
81	3801	42557
82	3840	42433
83	3887	42392
84	3929	42296
85	3966	42150
86	4005	42039
87	4048	41957
88	4086	41834
89	4129	41754
90	4173	41688
91	4217	41628
92	4256	41509
93	4296	41409
94	4338	41329
95	4374	41196
96	4415	41108
97	4459	41047
98	4501	40966
99	4538	40847
100	4582	40787
101	4619	40671
102	4658	40572
103	4699	40488
104	4740	40410
105	4787	40378
106	4827	40290
107	4865	40186
108	4911	40145
109	4946	40019
110	4995	40010
111	5036	39931
112	5078	39863
113	5119	39785
114	5158	39696
115	5197	39612
116	5237	39526
117	5278	39453
118	5318	39377
119	5357	39286
120	5395	39194
121	5432	39093
122	5468	38990
123	5509	38921
124	5546	38826
125	5588	38763
126	5625	38672
127	5662	38572
128	5700	38489
129	5741	38425
130	5776	38321
131	5824	38297
132	5868	38255
133	5906	38171
134	5946	38102
135	5990	38054
136	6036	38022
137	6078	37967
138	6117	37895
139	6155	37811
140	6189	37705
141	6226	37622
142	6263	37539
143	6301	37460
144	6339	37382
145	6381	37328
146	6420	37258
147	6459	37187
148	6496	37106
149	6534	37029
150	6573	36958
151	6614	36899
152	6650	36818
153	6689	36751
154	6723	36655
155	6761	36580
156	6797	36499
157	6834	36420
158	6872	36352
159	6911	36285
160	6950	36220
161	6995	36188
162	7033	36116
163	7074	36063
164	7112	35992
165	7151	35927
166	7189	35858
167	7227	35791
168	7264	35721
169	7309	35686
170	7346	35617
171	7381	35533
172	7420	35472
173	7459	35412
174	7497	35345
175	7533	35271
176	7573	35213
177	7616	35173
178	7658	35128
179	7698	35071
180	7733	34993
181	7777	34956
182	7814	34888
183	7849	34811
184	7890	34761
185	7931	34710
186	7971	34657
187	8008	34590
188	8047	34532
189	8083	34460
190	8117	34380
191	8152	34309
192	8192	34255
193	8234	34213
194	8271	34146
195	8317	34118
196	8357	34064
197	8391	33989
198	8425	33914
199	8466	33867
200	8507	33818
201	8544	33753
202	8581	33691
203	8623	33647
204	8663	33596
205	8701	33540
206	8747	33511
207	8786	33456
208	8824	33398
209	8862	33339
210	8900	33283
211	8941	33233
212	8978	33174
213	9015	33111
214	9050	33043
215	9087	32982
216	9127	32936
217	9168	32889
218	9205	32829
219	9241	32763
220	9277	32703
221	9314	32642
222	9356	32599
223	9395	32549
224	9429	32479
225	9468	32425
226	9501	32354
227	9542	32309
228	9583	32265
229	9620	32207
230	9655	32144
231	9693	32089
232	9738	32056
233	9776	32001
234	9814	31950
235	9856	31909
236	9896	31859
237	9933	31802
238	9977	31770
239	10019	31729
240	10066	31703
241	10105	31652
242	10138	31583
243	10179	31539
244	10212	31471
245	10254	31429
246	10290	31372
247	10329	31320
248	10366	31267
249	10400	31201
250	10433	31134
251	10467	31071
252	10502	31008
253	10539	30955
254	10577	30902
255	10613	30845
256	10651	30793
257	10690	30744
258	10728	30694
259	10768	30648
260	10802	30587
261	10847	30556
262	10886	30507
263	10929	30468
264	10962	30405
265	11002	30359
266	11040	30310
267	11075	30249
268	11115	30206
269	11154	30158
270	11189	30099
271	11232	30062
272	11272	30018
273	11306	29957
274	11341	29900
275	11377	29844
276	11420	29809
277	11455	29751
278	11487	29686
279	11521	29626
280	11563	29586
281	11600	29536
282	11636	29481
283	11672	29426
284	11705	29365
285	11740	29310
286	11776	29256
287	11819	29220
288	11853	29160
289	11894	29120
290	11929	29065
291	11965	29012
292	11999	28954
293	12038	28909
294	12074	28854
295	12111	28806
296	12151	28762
297	12195	28728
298	12229	28672
299	12271	28632
300	12308	28582
301	12344	28532
302	12387	28496
303	12427	28452
304	12465	28405
305	12503	28357
306	12542	28311
307	12577	28259
308	12610	28200
309	12650	28156
310	12691	28117
311	12731	28075
312	12765	28019
313	12801	27966
314	12844	27931
315	12886	27893
316	12923	27845
317	12959	27793
318	12994	27741
319	13032	27693
320	13066	27638
321	13102	27589
322	13142	27547
323	13182	27505
324	13225	27467
325	13258	27411
326	13297	27367
327	13330	27310
328	13362	27253
329	13403	27213
330	13439	27163
331	13476	27114
332	13512	27065
333	13551	27022
334	13586	26969
335	13625	26927
336	13660	26875
337	13706	26844
338	13742	26796
339	13776	26742
340	13810	26689
341	13845	26639
342	13883	26592
343	13922	26549
344	13958	26501
345	13992	26448
346	14030	26402
347	14068	26359
348	14109	26318
349	14147	26273
350	14186	26231
351	14219	26176
352	14257	26131
353	14291	26080
354	14329	26035
355	14364	25984
356	14402	25939
357	14434	25886
358	14470	25838
359	14506	25788
360	14551	25756
361	14582	25699
362	14620	25655
363	14657	25609
364	14692	25560
365	14727	25512
366	14767	25471
367	14805	25426
368	14840	25377
369	14876	25330
370	14913	25284
371	14950	25238
372	14983	25186
373	15024	25147
374	15057	25096
375	15096	25053
376	15129	25001
377	15169	24961
378	15205	24915
379	15247	24877
380	15291	24844
381	15339	24816
382	15375	24769
383	15407	24716
384	15442	24667
385	15487	24635
386	15523	24589
387	15564	24550
388	15601	24505
389	15642	24466
390	15679	24421
391	15712	24370
392	15751	24327
393	15786	24281
394	15823	24235
395	15858	24188
396	15903	24155
397	15938	24107
398	15979	24069
399	16017	24026
400	16057	23986
401	16095	23943
402	16138	23907
403	16177	23865
404	16212	23818
405	16252	23778
406	16285	23728
407	16323	23684
408	16356	23634
409	16392	23589
410	16424	23538
411	16456	23487
412	16490	23438
413	16528	23395
414	16564	23349
415	16605	23311
416	16646	23273
417	16689	23238
418	16724	23190
419	16762	23148
420	16797	23101
421	16838	23062
422	16875	23019
423	16913	22976
424	16945	22925
425	16984	22885
426	17020	22839
427	17056	22795
428	17096	22756
429	17129	22705
430	17172	22670
431	17207	22624
432	17249	22587
433	17280	22536
434	17318	22494
435	17353	22448
436	17401	22419
437	17440	22378
438	17476	22332
439	17513	22289
440	17547	22242
441	17588	22204
442	17624	22159
443	17655	22108
444	17687	22060
445	17721	22013
446	17758	21969
447	17792	21922
448	17828	21879
449	17861	21831
450	17901	21791
451	17943	21754
452	17982	21714
453	18021	21673
454	18060	21632
455	18093	21584
456	18128	21539
457	18165	21497
458	18200	21451
459	18240	21412
460	18275	21367
461	18311	21323
462	18343	21275
463	18375	21226
464	18413	21184
465	18449	21141
466	18484	21096
467	18522	21055
468	18557	21011
469	18594	20968
470	18636	20931
471	18674	20890
472	18707	20843
473	18745	20802
474	18782	20759
475	18821	20719
476	18859	20678
477	18901	20641
478	18942	20603
479	18982	20564
480	19020	20523
481	19057	20480
482	19093	20437
483	19129	20394
484	19165	20351
485	19202	20308
486	19241	20268
487	19278	20226
488	19313	20182
489	19351	20141
490	19387	20097
491	19423	20055
492	19457	20009
493	19492	19966
494	19527	19921
495	19565	19880
496	19606	19843
497	19640	19798
498	19679	19757
499	19719	19719
500	19756	19677
501	19789	19631
502	19824	19588
503	19855	19540
504	19894	19500
505	19929	19457
506	19972	19420
507	20008	19378
508	20041	19332
509	20078	19290
510	20114	19248
511	20148	19203
512	20184	19161
513	20217	19116
514	20251	19071
515	20285	19027
516	20323	18986
517	20355	18940
518	20386	18893
519	20420	18849
520	20458	18809
521	20492	18765
522	20531	18725
523	20573	18688
524	20610	18647
525	20645	18604
526	20683	18563
527	20723	18525
528	20756	18480
529	20789	18435
530	20826	18395
531	20862	18352
532	20896	18308
533	20935	18269
534	20971	18227
535	21006	18184
536	21046	18145
537	21081	18103
538	21114	18059
